date,transactions
01-01-2013,770
02-01-2013,93215
03-01-2013,78504
04-01-2013,78494
05-01-2013,93573
06-01-2013,90464
07-01-2013,75597
08-01-2013,72325
09-01-2013,71971
10-01-2013,66383
11-01-2013,70338
12-01-2013,85511
13-01-2013,86306
14-01-2013,70078
15-01-2013,71134
16-01-2013,72471
17-01-2013,68873
18-01-2013,71371
19-01-2013,88558
20-01-2013,85281
21-01-2013,73250
22-01-2013,68988
23-01-2013,69819
24-01-2013,63705
25-01-2013,71273
26-01-2013,88022
27-01-2013,83304
28-01-2013,70389
29-01-2013,68435
30-01-2013,70888
31-01-2013,70268
01-02-2013,78302
02-02-2013,97347
03-02-2013,87026
04-02-2013,75330
05-02-2013,76206
06-02-2013,75291
07-02-2013,72789
08-02-2013,79726
09-02-2013,90342
10-02-2013,69963
11-02-2013,67222
12-02-2013,71808
13-02-2013,80098
14-02-2013,88681
15-02-2013,75789
16-02-2013,92816
17-02-2013,77449
18-02-2013,76437
19-02-2013,70645
20-02-2013,73812
21-02-2013,68246
22-02-2013,70914
23-02-2013,88390
24-02-2013,84125
25-02-2013,72167
26-02-2013,68706
27-02-2013,70170
28-02-2013,69818
01-03-2013,79524
02-03-2013,98616
03-03-2013,92716
04-03-2013,79078
05-03-2013,75134
06-03-2013,76519
07-03-2013,73910
08-03-2013,78231
09-03-2013,92462
10-03-2013,86322
11-03-2013,75161
12-03-2013,69346
13-03-2013,72010
14-03-2013,67393
15-03-2013,75533
16-03-2013,91900
17-03-2013,89346
18-03-2013,74418
19-03-2013,71841
20-03-2013,74145
21-03-2013,69157
22-03-2013,71990
23-03-2013,91923
24-03-2013,83439
25-03-2013,72992
26-03-2013,68469
27-03-2013,74049
28-03-2013,82104
29-03-2013,77781
30-03-2013,90611
31-03-2013,82563
01-04-2013,81678
02-04-2013,77165
03-04-2013,78534
04-04-2013,72217
05-04-2013,74928
06-04-2013,94844
07-04-2013,89183
08-04-2013,75161
09-04-2013,71416
10-04-2013,73989
11-04-2013,71907
12-04-2013,75403
13-04-2013,92166
14-04-2013,86803
15-04-2013,76251
16-04-2013,74187
17-04-2013,74529
18-04-2013,68343
19-04-2013,73119
20-04-2013,92014
21-04-2013,87401
22-04-2013,75157
23-04-2013,71657
24-04-2013,73003
25-04-2013,68917
26-04-2013,72813
27-04-2013,89825
28-04-2013,86773
29-04-2013,72009
30-04-2013,73513
01-05-2013,90548
02-05-2013,73639
03-05-2013,76685
04-05-2013,96689
05-05-2013,95212
06-05-2013,76383
07-05-2013,72563
08-05-2013,74802
09-05-2013,75025
10-05-2013,80282
11-05-2013,111484
12-05-2013,89790
13-05-2013,75625
14-05-2013,71589
15-05-2013,74401
16-05-2013,71287
17-05-2013,74705
18-05-2013,91973
19-05-2013,89031
20-05-2013,74613
21-05-2013,70601
22-05-2013,71763
23-05-2013,70843
24-05-2013,78945
25-05-2013,85230
26-05-2013,81869
27-05-2013,72144
28-05-2013,71801
29-05-2013,73970
30-05-2013,77052
31-05-2013,76921
01-06-2013,101740
02-06-2013,98018
03-06-2013,80648
04-06-2013,76213
05-06-2013,77605
06-06-2013,72282
07-06-2013,79014
08-06-2013,89783
09-06-2013,89751
10-06-2013,74546
11-06-2013,68636
12-06-2013,73386
13-06-2013,69703
14-06-2013,76434
15-06-2013,102541
16-06-2013,87839
17-06-2013,76236
18-06-2013,73179
19-06-2013,68613
20-06-2013,69984
21-06-2013,73717
22-06-2013,88681
23-06-2013,86152
24-06-2013,73403
25-06-2013,70549
26-06-2013,71009
27-06-2013,67340
28-06-2013,74172
29-06-2013,93531
30-06-2013,87501
01-07-2013,81850
02-07-2013,79187
03-07-2013,78437
04-07-2013,75664
05-07-2013,77710
06-07-2013,92132
07-07-2013,87219
08-07-2013,77464
09-07-2013,73041
10-07-2013,73319
11-07-2013,68662
12-07-2013,73261
13-07-2013,88063
14-07-2013,81622
15-07-2013,76717
16-07-2013,75755
17-07-2013,73859
18-07-2013,69399
19-07-2013,73231
20-07-2013,87653
21-07-2013,80799
22-07-2013,75771
23-07-2013,73650
24-07-2013,72876
25-07-2013,70760
26-07-2013,74270
27-07-2013,86632
28-07-2013,79729
29-07-2013,72911
30-07-2013,72512
31-07-2013,77813
01-08-2013,78740
02-08-2013,79127
03-08-2013,93926
04-08-2013,86805
05-08-2013,82080
06-08-2013,77927
07-08-2013,77426
08-08-2013,72592
09-08-2013,77361
10-08-2013,85444
11-08-2013,80268
12-08-2013,76317
13-08-2013,74660
14-08-2013,74211
15-08-2013,74220
16-08-2013,79668
17-08-2013,88888
18-08-2013,83247
19-08-2013,77100
20-08-2013,76629
21-08-2013,76613
22-08-2013,71220
23-08-2013,75844
24-08-2013,87502
25-08-2013,82558
26-08-2013,76173
27-08-2013,73568
28-08-2013,74979
29-08-2013,71897
30-08-2013,77749
31-08-2013,96400
01-09-2013,95871
02-09-2013,84388
03-09-2013,79834
04-09-2013,80360
05-09-2013,74704
06-09-2013,74579
07-09-2013,95846
08-09-2013,94015
09-09-2013,77169
10-09-2013,72483
11-09-2013,74287
12-09-2013,68478
13-09-2013,73019
14-09-2013,92336
15-09-2013,90410
16-09-2013,77189
17-09-2013,72907
18-09-2013,72512
19-09-2013,67209
20-09-2013,74285
21-09-2013,91544
22-09-2013,87513
23-09-2013,75213
24-09-2013,70348
25-09-2013,71613
26-09-2013,66914
27-09-2013,72409
28-09-2013,91304
29-09-2013,87268
30-09-2013,74455
01-10-2013,80690
02-10-2013,80520
03-10-2013,73793
04-10-2013,78169
05-10-2013,97345
06-10-2013,91143
07-10-2013,77290
08-10-2013,73728
09-10-2013,73206
10-10-2013,71249
11-10-2013,80838
12-10-2013,85003
13-10-2013,83357
14-10-2013,72589
15-10-2013,71021
16-10-2013,73902
17-10-2013,70806
18-10-2013,71837
19-10-2013,93205
20-10-2013,91210
21-10-2013,74337
22-10-2013,69581
23-10-2013,71321
24-10-2013,67609
25-10-2013,72010
26-10-2013,89451
27-10-2013,86852
28-10-2013,73374
29-10-2013,69205
30-10-2013,72246
31-10-2013,71553
01-11-2013,79385
02-11-2013,93949
03-11-2013,91085
04-11-2013,79630
05-11-2013,76352
06-11-2013,76148
07-11-2013,70599
08-11-2013,74646
09-11-2013,91367
10-11-2013,91689
11-11-2013,75194
12-11-2013,72225
13-11-2013,71600
14-11-2013,67268
15-11-2013,74804
16-11-2013,94069
17-11-2013,90357
18-11-2013,76133
19-11-2013,71496
20-11-2013,74998
21-11-2013,69198
22-11-2013,73466
23-11-2013,91187
24-11-2013,87771
25-11-2013,73966
26-11-2013,70690
27-11-2013,71571
28-11-2013,69896
29-11-2013,74816
30-11-2013,94311
01-12-2013,96910
02-12-2013,82768
03-12-2013,79820
04-12-2013,80529
05-12-2013,77466
06-12-2013,80763
07-12-2013,95160
08-12-2013,92142
09-12-2013,80274
10-12-2013,79326
11-12-2013,82055
12-12-2013,80045
13-12-2013,84558
14-12-2013,101340
15-12-2013,102239
16-12-2013,92585
17-12-2013,94103
18-12-2013,102356
19-12-2013,109267
20-12-2013,106238
21-12-2013,121425
22-12-2013,118997
23-12-2013,145876
24-12-2013,155846
26-12-2013,96002
27-12-2013,98330
28-12-2013,102858
29-12-2013,88729
30-12-2013,117645
31-12-2013,117214
01-01-2014,1327
02-01-2014,90716
03-01-2014,84488
04-01-2014,101361
05-01-2014,93475
06-01-2014,77784
07-01-2014,75361
08-01-2014,77204
09-01-2014,72575
10-01-2014,75302
11-01-2014,94661
12-01-2014,89216
13-01-2014,75590
14-01-2014,71724
15-01-2014,74904
16-01-2014,73914
17-01-2014,75507
18-01-2014,92853
19-01-2014,88313
20-01-2014,74870
21-01-2014,74384
22-01-2014,72600
23-01-2014,69863
24-01-2014,74881
25-01-2014,89619
26-01-2014,86186
27-01-2014,73833
28-01-2014,71475
29-01-2014,70343
30-01-2014,69738
31-01-2014,79461
01-02-2014,100397
02-02-2014,91157
03-02-2014,82999
04-02-2014,78774
05-02-2014,79153
06-02-2014,75574
07-02-2014,78958
08-02-2014,92697
09-02-2014,83507
10-02-2014,78191
11-02-2014,75239
12-02-2014,79051
13-02-2014,82922
14-02-2014,92671
15-02-2014,93175
16-02-2014,88232
17-02-2014,76721
18-02-2014,73438
19-02-2014,73514
20-02-2014,71024
21-02-2014,75172
22-02-2014,93092
23-02-2014,80419
24-02-2014,77401
25-02-2014,72686
